event_id,participant_id,sample_id,light_kelvin,split
D1-P001-S1-L2700,P001,P001-S1,2700,val
D1-P001-S1-L4000,P001,P001-S1,4000,val
D1-P001-S1-L5500,P001,P001-S1,5500,val
D1-P002-S1-L2700,P002,P002-S1,2700,train
D1-P002-S1-L4000,P002,P002-S1,4000,train
D1-P002-S1-L5500,P002,P002-S1,5500,train
D1-P003-S1-L2700,P003,P003-S1,2700,val
D1-P003-S1-L4000,P003,P003-S1,4000,val
D1-P003-S1-L5500,P003,P003-S1,5500,val
D1-P004-S1-L2700,P004,P004-S1,2700,train
D1-P004-S1-L4000,P004,P004-S1,4000,train
D1-P004-S1-L5500,P004,P004-S1,5500,train
D1-P005-S1-L2700,P005,P005-S1,2700,train
D1-P005-S1-L4000,P005,P005-S1,4000,train
D1-P005-S1-L5500,P005,P005-S1,5500,train
D1-P006-S1-L2700,P006,P006-S1,2700,train
D1-P006-S1-L4000,P006,P006-S1,4000,train
D1-P006-S1-L5500,P006,P006-S1,5500,train
D1-P007-S1-L2700,P007,P007-S1,2700,train
D1-P007-S1-L4000,P007,P007-S1,4000,train
D1-P007-S1-L5500,P007,P007-S1,5500,train
D1-P008-S1-L2700,P008,P008-S1,2700,train
D1-P008-S1-L4000,P008,P008-S1,4000,train
D1-P008-S1-L5500,P008,P008-S1,5500,train
D1-P009-S1-L2700,P009,P009-S1,2700,train
D1-P009-S1-L4000,P009,P009-S1,4000,train
D1-P009-S1-L5500,P009,P009-S1,5500,train
D1-P010-S1-L2700,P010,P010-S1,2700,train
D1-P010-S1-L4000,P010,P010-S1,4000,train
D1-P010-S1-L5500,P010,P010-S1,5500,train
D1-P011-S1-L2700,P011,P011-S1,2700,train
D1-P011-S1-L4000,P011,P011-S1,4000,train
D1-P011-S1-L5500,P011,P011-S1,5500,train
D1-P012-S1-L2700,P012,P012-S1,2700,train
D1-P012-S1-L4000,P012,P012-S1,4000,train
D1-P012-S1-L5500,P012,P012-S1,5500,train
D1-P013-S1-L2700,P013,P013-S1,2700,train
D1-P013-S1-L4000,P013,P013-S1,4000,train
D1-P013-S1-L5500,P013,P013-S1,5500,train
D1-P014-S1-L2700,P014,P014-S1,2700,val
D1-P014-S1-L4000,P014,P014-S1,4000,val
D1-P014-S1-L5500,P014,P014-S1,5500,val
D1-P015-S1-L2700,P015,P015-S1,2700,train
D1-P015-S1-L4000,P015,P015-S1,4000,train
D1-P015-S1-L5500,P015,P015-S1,5500,train
D1-P016-S1-L2700,P016,P016-S1,2700,val
D1-P016-S1-L4000,P016,P016-S1,4000,val
D1-P016-S1-L5500,P016,P016-S1,5500,val
D1-P017-S1-L2700,P017,P017-S1,2700,train
D1-P017-S1-L4000,P017,P017-S1,4000,train
D1-P017-S1-L5500,P017,P017-S1,5500,train
D1-P018-S1-L2700,P018,P018-S1,2700,train
D1-P018-S1-L4000,P018,P018-S1,4000,train
D1-P018-S1-L5500,P018,P018-S1,5500,train
D1-P019-S1-L2700,P019,P019-S1,2700,train
D1-P019-S1-L4000,P019,P019-S1,4000,train
D1-P019-S1-L5500,P019,P019-S1,5500,train
D1-P020-S1-L2700,P020,P020-S1,2700,val
D1-P020-S1-L4000,P020,P020-S1,4000,val
D1-P020-S1-L5500,P020,P020-S1,5500,val
D1-P021-S1-L2700,P021,P021-S1,2700,train
D1-P021-S1-L4000,P021,P021-S1,4000,train
D1-P021-S1-L5500,P021,P021-S1,5500,train
D1-P022-S1-L2700,P022,P022-S1,2700,train
D1-P022-S1-L4000,P022,P022-S1,4000,train
D1-P022-S1-L5500,P022,P022-S1,5500,train
D1-P023-S1-L2700,P023,P023-S1,2700,train
D1-P023-S1-L4000,P023,P023-S1,4000,train
D1-P023-S1-L5500,P023,P023-S1,5500,train
D1-P024-S1-L2700,P024,P024-S1,2700,train
D1-P024-S1-L4000,P024,P024-S1,4000,train
D1-P024-S1-L5500,P024,P024-S1,5500,train
D1-P025-S1-L2700,P025,P025-S1,2700,train
D1-P025-S1-L4000,P025,P025-S1,4000,train
D1-P025-S1-L5500,P025,P025-S1,5500,train
D1-P026-S1-L2700,P026,P026-S1,2700,train
D1-P026-S1-L4000,P026,P026-S1,4000,train
D1-P026-S1-L5500,P026,P026-S1,5500,train
D1-P027-S1-L2700,P027,P027-S1,2700,train
D1-P027-S1-L4000,P027,P027-S1,4000,train
D1-P027-S1-L5500,P027,P027-S1,5500,train
D1-P028-S1-L2700,P028,P028-S1,2700,train
D1-P028-S1-L4000,P028,P028-S1,4000,train
D1-P028-S1-L5500,P028,P028-S1,5500,train
D1-P029-S1-L2700,P029,P029-S1,2700,train
D1-P029-S1-L4000,P029,P029-S1,4000,train
D1-P029-S1-L5500,P029,P029-S1,5500,train
D1-P030-S1-L2700,P030,P030-S1,2700,train
D1-P030-S1-L4000,P030,P030-S1,4000,train
D1-P030-S1-L5500,P030,P030-S1,5500,train
D1-P031-S1-L2700,P031,P031-S1,2700,val
D1-P031-S1-L4000,P031,P031-S1,4000,val
D1-P031-S1-L5500,P031,P031-S1,5500,val
D1-P032-S1-L2700,P032,P032-S1,2700,train
D1-P032-S1-L4000,P032,P032-S1,4000,train
D1-P032-S1-L5500,P032,P032-S1,5500,train
D1-P033-S1-L2700,P033,P033-S1,2700,train
D1-P033-S1-L4000,P033,P033-S1,4000,train
D1-P033-S1-L5500,P033,P033-S1,5500,train
D1-P034-S1-L2700,P034,P034-S1,2700,train
D1-P034-S1-L4000,P034,P034-S1,4000,train
D1-P034-S1-L5500,P034,P034-S1,5500,train
D1-P035-S1-L2700,P035,P035-S1,2700,train
D1-P035-S1-L4000,P035,P035-S1,4000,train
D1-P035-S1-L5500,P035,P035-S1,5500,train
D1-P036-S1-L2700,P036,P036-S1,2700,train
D1-P036-S1-L4000,P036,P036-S1,4000,train
D1-P036-S1-L5500,P036,P036-S1,5500,train
D1-P037-S1-L2700,P037,P037-S1,2700,val
D1-P037-S1-L4000,P037,P037-S1,4000,val
D1-P037-S1-L5500,P037,P037-S1,5500,val
D1-P038-S1-L2700,P038,P038-S1,2700,train
D1-P038-S1-L4000,P038,P038-S1,4000,train
D1-P038-S1-L5500,P038,P038-S1,5500,train
D1-P039-S1-L2700,P039,P039-S1,2700,val
D1-P039-S1-L4000,P039,P039-S1,4000,val
D1-P039-S1-L5500,P039,P039-S1,5500,val
D1-P040-S1-L2700,P040,P040-S1,2700,train
D1-P040-S1-L4000,P040,P040-S1,4000,train
D1-P040-S1-L5500,P040,P040-S1,5500,train
D1-P041-S1-L2700,P041,P041-S1,2700,train
D1-P041-S1-L4000,P041,P041-S1,4000,train
D1-P041-S1-L5500,P041,P041-S1,5500,train
D1-P042-S1-L2700,P042,P042-S1,2700,train
D1-P042-S1-L4000,P042,P042-S1,4000,train
D1-P042-S1-L5500,P042,P042-S1,5500,train
D1-P043-S1-L2700,P043,P043-S1,2700,val
D1-P043-S1-L4000,P043,P043-S1,4000,val
D1-P043-S1-L5500,P043,P043-S1,5500,val
D1-P044-S1-L2700,P044,P044-S1,2700,val
D1-P044-S1-L4000,P044,P044-S1,4000,val
D1-P044-S1-L5500,P044,P044-S1,5500,val
D1-P045-S1-L2700,P045,P045-S1,2700,val
D1-P045-S1-L4000,P045,P045-S1,4000,val
D1-P045-S1-L5500,P045,P045-S1,5500,val
D1-P046-S1-L2700,P046,P046-S1,2700,train
D1-P046-S1-L4000,P046,P046-S1,4000,train
D1-P046-S1-L5500,P046,P046-S1,5500,train
D1-P047-S1-L2700,P047,P047-S1,2700,train
D1-P047-S1-L4000,P047,P047-S1,4000,train
D1-P047-S1-L5500,P047,P047-S1,5500,train
D1-P048-S1-L2700,P048,P048-S1,2700,train
D1-P048-S1-L4000,P048,P048-S1,4000,train
D1-P048-S1-L5500,P048,P048-S1,5500,train
D1-P049-S1-L2700,P049,P049-S1,2700,train
D1-P049-S1-L4000,P049,P049-S1,4000,train
D1-P049-S1-L5500,P049,P049-S1,5500,train
D1-P050-S1-L2700,P050,P050-S1,2700,val
D1-P050-S1-L4000,P050,P050-S1,4000,val
D1-P050-S1-L5500,P050,P050-S1,5500,val
D1-P051-S1-L2700,P051,P051-S1,2700,train
D1-P051-S1-L4000,P051,P051-S1,4000,train
D1-P051-S1-L5500,P051,P051-S1,5500,train
D1-P052-S1-L2700,P052,P052-S1,2700,train
D1-P052-S1-L4000,P052,P052-S1,4000,train
D1-P052-S1-L5500,P052,P052-S1,5500,train
D1-P053-S1-L2700,P053,P053-S1,2700,val
D1-P053-S1-L4000,P053,P053-S1,4000,val
D1-P053-S1-L5500,P053,P053-S1,5500,val
D1-P054-S1-L2700,P054,P054-S1,2700,val
D1-P054-S1-L4000,P054,P054-S1,4000,val
D1-P054-S1-L5500,P054,P054-S1,5500,val
D1-P055-S1-L2700,P055,P055-S1,2700,val
D1-P055-S1-L4000,P055,P055-S1,4000,val
D1-P055-S1-L5500,P055,P055-S1,5500,val
D1-P056-S1-L2700,P056,P056-S1,2700,train
D1-P056-S1-L4000,P056,P056-S1,4000,train
D1-P056-S1-L5500,P056,P056-S1,5500,train
D1-P057-S1-L2700,P057,P057-S1,2700,train
D1-P057-S1-L4000,P057,P057-S1,4000,train
D1-P057-S1-L5500,P057,P057-S1,5500,train
D1-P058-S1-L2700,P058,P058-S1,2700,train
D1-P058-S1-L4000,P058,P058-S1,4000,train
D1-P058-S1-L5500,P058,P058-S1,5500,train
D1-P059-S1-L2700,P059,P059-S1,2700,train
D1-P059-S1-L4000,P059,P059-S1,4000,train
D1-P059-S1-L5500,P059,P059-S1,5500,train
D1-P060-S1-L2700,P060,P060-S1,2700,train
D1-P060-S1-L4000,P060,P060-S1,4000,train
D1-P060-S1-L5500,P060,P060-S1,5500,train
D1-P061-S1-L2700,P061,P061-S1,2700,val
D1-P061-S1-L4000,P061,P061-S1,4000,val
D1-P061-S1-L5500,P061,P061-S1,5500,val
D1-P062-S1-L2700,P062,P062-S1,2700,val
D1-P062-S1-L4000,P062,P062-S1,4000,val
D1-P062-S1-L5500,P062,P062-S1,5500,val
D1-P063-S1-L2700,P063,P063-S1,2700,train
D1-P063-S1-L4000,P063,P063-S1,4000,train
D1-P063-S1-L5500,P063,P063-S1,5500,train
D1-P064-S1-L2700,P064,P064-S1,2700,train
D1-P064-S1-L4000,P064,P064-S1,4000,train
D1-P064-S1-L5500,P064,P064-S1,5500,train
D1-P065-S1-L2700,P065,P065-S1,2700,val
D1-P065-S1-L4000,P065,P065-S1,4000,val
D1-P065-S1-L5500,P065,P065-S1,5500,val
D1-P066-S1-L2700,P066,P066-S1,2700,val
D1-P066-S1-L4000,P066,P066-S1,4000,val
D1-P066-S1-L5500,P066,P066-S1,5500,val
D1-P067-S1-L2700,P067,P067-S1,2700,val
D1-P067-S1-L4000,P067,P067-S1,4000,val
D1-P067-S1-L5500,P067,P067-S1,5500,val
D1-P068-S1-L2700,P068,P068-S1,2700,train
D1-P068-S1-L4000,P068,P068-S1,4000,train
D1-P068-S1-L5500,P068,P068-S1,5500,train
D1-P069-S1-L2700,P069,P069-S1,2700,train
D1-P069-S1-L4000,P069,P069-S1,4000,train
D1-P069-S1-L5500,P069,P069-S1,5500,train
D1-P070-S1-L2700,P070,P070-S1,2700,train
D1-P070-S1-L4000,P070,P070-S1,4000,train
D1-P070-S1-L5500,P070,P070-S1,5500,train
D1-P071-S1-L2700,P071,P071-S1,2700,train
D1-P071-S1-L4000,P071,P071-S1,4000,train
D1-P071-S1-L5500,P071,P071-S1,5500,train
D1-P072-S1-L2700,P072,P072-S1,2700,train
D1-P072-S1-L4000,P072,P072-S1,4000,train
D1-P072-S1-L5500,P072,P072-S1,5500,train
D1-P073-S1-L2700,P073,P073-S1,2700,train
D1-P073-S1-L4000,P073,P073-S1,4000,train
D1-P073-S1-L5500,P073,P073-S1,5500,train
D1-P074-S1-L2700,P074,P074-S1,2700,train
D1-P074-S1-L4000,P074,P074-S1,4000,train
D1-P074-S1-L5500,P074,P074-S1,5500,train
D1-P075-S1-L2700,P075,P075-S1,2700,train
D1-P075-S1-L4000,P075,P075-S1,4000,train
D1-P075-S1-L5500,P075,P075-S1,5500,train
D1-P076-S1-L2700,P076,P076-S1,2700,train
D1-P076-S1-L4000,P076,P076-S1,4000,train
D1-P076-S1-L5500,P076,P076-S1,5500,train
D1-P077-S1-L2700,P077,P077-S1,2700,train
D1-P077-S1-L4000,P077,P077-S1,4000,train
D1-P077-S1-L5500,P077,P077-S1,5500,train
D1-P078-S1-L2700,P078,P078-S1,2700,train
D1-P078-S1-L4000,P078,P078-S1,4000,train
D1-P078-S1-L5500,P078,P078-S1,5500,train
D1-P079-S1-L2700,P079,P079-S1,2700,val
D1-P079-S1-L4000,P079,P079-S1,4000,val
D1-P079-S1-L5500,P079,P079-S1,5500,val
D1-P080-S1-L2700,P080,P080-S1,2700,train
D1-P080-S1-L4000,P080,P080-S1,4000,train
D1-P080-S1-L5500,P080,P080-S1,5500,train
D1-P081-S1-L2700,P081,P081-S1,2700,train
D1-P081-S1-L4000,P081,P081-S1,4000,train
D1-P081-S1-L5500,P081,P081-S1,5500,train
D1-P082-S1-L2700,P082,P082-S1,2700,train
D1-P082-S1-L4000,P082,P082-S1,4000,train
D1-P082-S1-L5500,P082,P082-S1,5500,train
D1-P083-S1-L2700,P083,P083-S1,2700,train
D1-P083-S1-L4000,P083,P083-S1,4000,train
D1-P083-S1-L5500,P083,P083-S1,5500,train
D1-P084-S1-L2700,P084,P084-S1,2700,val
D1-P084-S1-L4000,P084,P084-S1,4000,val
D1-P084-S1-L5500,P084,P084-S1,5500,val
D1-P085-S1-L2700,P085,P085-S1,2700,train
D1-P085-S1-L4000,P085,P085-S1,4000,train
D1-P085-S1-L5500,P085,P085-S1,5500,train
D1-P086-S1-L2700,P086,P086-S1,2700,train
D1-P086-S1-L4000,P086,P086-S1,4000,train
D1-P086-S1-L5500,P086,P086-S1,5500,train
D1-P087-S1-L2700,P087,P087-S1,2700,train
D1-P087-S1-L4000,P087,P087-S1,4000,train
D1-P087-S1-L5500,P087,P087-S1,5500,train
D1-P088-S1-L2700,P088,P088-S1,2700,train
D1-P088-S1-L4000,P088,P088-S1,4000,train
D1-P088-S1-L5500,P088,P088-S1,5500,train
D1-P089-S1-L2700,P089,P089-S1,2700,train
D1-P089-S1-L4000,P089,P089-S1,4000,train
D1-P089-S1-L5500,P089,P089-S1,5500,train
D1-P090-S1-L2700,P090,P090-S1,2700,train
D1-P090-S1-L4000,P090,P090-S1,4000,train
D1-P090-S1-L5500,P090,P090-S1,5500,train
D1-P091-S1-L2700,P091,P091-S1,2700,train
D1-P091-S1-L4000,P091,P091-S1,4000,train
D1-P091-S1-L5500,P091,P091-S1,5500,train
D1-P092-S1-L2700,P092,P092-S1,2700,train
D1-P092-S1-L4000,P092,P092-S1,4000,train
D1-P092-S1-L5500,P092,P092-S1,5500,train
D1-P093-S1-L2700,P093,P093-S1,2700,val
D1-P093-S1-L4000,P093,P093-S1,4000,val
D1-P093-S1-L5500,P093,P093-S1,5500,val
D1-P094-S1-L2700,P094,P094-S1,2700,train
D1-P094-S1-L4000,P094,P094-S1,4000,train
D1-P094-S1-L5500,P094,P094-S1,5500,train
D1-P095-S1-L2700,P095,P095-S1,2700,train
D1-P095-S1-L4000,P095,P095-S1,4000,train
D1-P095-S1-L5500,P095,P095-S1,5500,train
D1-P096-S1-L2700,P096,P096-S1,2700,val
D1-P096-S1-L4000,P096,P096-S1,4000,val
D1-P096-S1-L5500,P096,P096-S1,5500,val
D1-P097-S1-L2700,P097,P097-S1,2700,train
D1-P097-S1-L4000,P097,P097-S1,4000,train
D1-P097-S1-L5500,P097,P097-S1,5500,train
D1-P098-S1-L2700,P098,P098-S1,2700,train
D1-P098-S1-L4000,P098,P098-S1,4000,train
D1-P098-S1-L5500,P098,P098-S1,5500,train
D1-P099-S1-L2700,P099,P099-S1,2700,train
D1-P099-S1-L4000,P099,P099-S1,4000,train
D1-P099-S1-L5500,P099,P099-S1,5500,train
D1-P100-S1-L2700,P100,P100-S1,2700,val
D1-P100-S1-L4000,P100,P100-S1,4000,val
D1-P100-S1-L5500,P100,P100-S1,5500,val
D1-P101-S1-L2700,P101,P101-S1,2700,val
D1-P101-S1-L4000,P101,P101-S1,4000,val
D1-P101-S1-L5500,P101,P101-S1,5500,val
D1-P102-S1-L2700,P102,P102-S1,2700,train
D1-P102-S1-L4000,P102,P102-S1,4000,train
D1-P102-S1-L5500,P102,P102-S1,5500,train
D1-P103-S1-L2700,P103,P103-S1,2700,train
D1-P103-S1-L4000,P103,P103-S1,4000,train
D1-P103-S1-L5500,P103,P103-S1,5500,train
D1-P104-S1-L2700,P104,P104-S1,2700,val
D1-P104-S1-L4000,P104,P104-S1,4000,val
D1-P104-S1-L5500,P104,P104-S1,5500,val
D1-P105-S1-L2700,P105,P105-S1,2700,train
D1-P105-S1-L4000,P105,P105-S1,4000,train
D1-P105-S1-L5500,P105,P105-S1,5500,train
D1-P106-S1-L2700,P106,P106-S1,2700,train
D1-P106-S1-L4000,P106,P106-S1,4000,train
D1-P106-S1-L5500,P106,P106-S1,5500,train
D1-P107-S1-L2700,P107,P107-S1,2700,train
D1-P107-S1-L4000,P107,P107-S1,4000,train
D1-P107-S1-L5500,P107,P107-S1,5500,train
D1-P108-S1-L2700,P108,P108-S1,2700,train
D1-P108-S1-L4000,P108,P108-S1,4000,train
D1-P108-S1-L5500,P108,P108-S1,5500,train
D1-P109-S1-L2700,P109,P109-S1,2700,train
D1-P109-S1-L4000,P109,P109-S1,4000,train
D1-P109-S1-L5500,P109,P109-S1,5500,train
D1-P110-S1-L2700,P110,P110-S1,2700,train
D1-P110-S1-L4000,P110,P110-S1,4000,train
D1-P110-S1-L5500,P110,P110-S1,5500,train
D1-P111-S1-L2700,P111,P111-S1,2700,train
D1-P111-S1-L4000,P111,P111-S1,4000,train
D1-P111-S1-L5500,P111,P111-S1,5500,train
D1-P112-S1-L2700,P112,P112-S1,2700,val
D1-P112-S1-L4000,P112,P112-S1,4000,val
D1-P112-S1-L5500,P112,P112-S1,5500,val
D1-P113-S1-L2700,P113,P113-S1,2700,train
D1-P113-S1-L4000,P113,P113-S1,4000,train
D1-P113-S1-L5500,P113,P113-S1,5500,train
D1-P114-S1-L2700,P114,P114-S1,2700,train
D1-P114-S1-L4000,P114,P114-S1,4000,train
D1-P114-S1-L5500,P114,P114-S1,5500,train
D1-P115-S1-L2700,P115,P115-S1,2700,train
D1-P115-S1-L4000,P115,P115-S1,4000,train
D1-P115-S1-L5500,P115,P115-S1,5500,train
D1-P116-S1-L2700,P116,P116-S1,2700,train
D1-P116-S1-L4000,P116,P116-S1,4000,train
D1-P116-S1-L5500,P116,P116-S1,5500,train
D1-P117-S1-L2700,P117,P117-S1,2700,train
D1-P117-S1-L4000,P117,P117-S1,4000,train
D1-P117-S1-L5500,P117,P117-S1,5500,train
D1-P118-S1-L2700,P118,P118-S1,2700,train
D1-P118-S1-L4000,P118,P118-S1,4000,train
D1-P118-S1-L5500,P118,P118-S1,5500,train
D1-P119-S1-L2700,P119,P119-S1,2700,val
D1-P119-S1-L4000,P119,P119-S1,4000,val
D1-P119-S1-L5500,P119,P119-S1,5500,val
D1-P120-S1-L2700,P120,P120-S1,2700,val
D1-P120-S1-L4000,P120,P120-S1,4000,val
D1-P120-S1-L5500,P120,P120-S1,5500,val
D1-P121-S1-L2700,P121,P121-S1,2700,train
D1-P121-S1-L4000,P121,P121-S1,4000,train
D1-P121-S1-L5500,P121,P121-S1,5500,train
D1-P122-S1-L2700,P122,P122-S1,2700,train
D1-P122-S1-L4000,P122,P122-S1,4000,train
D1-P122-S1-L5500,P122,P122-S1,5500,train
D1-P123-S1-L2700,P123,P123-S1,2700,train
D1-P123-S1-L4000,P123,P123-S1,4000,train
D1-P123-S1-L5500,P123,P123-S1,5500,train
D1-P124-S1-L2700,P124,P124-S1,2700,val
D1-P124-S1-L4000,P124,P124-S1,4000,val
D1-P124-S1-L5500,P124,P124-S1,5500,val
D1-P125-S1-L2700,P125,P125-S1,2700,train
D1-P125-S1-L4000,P125,P125-S1,4000,train
D1-P125-S1-L5500,P125,P125-S1,5500,train
D1-P126-S1-L2700,P126,P126-S1,2700,val
D1-P126-S1-L4000,P126,P126-S1,4000,val
D1-P126-S1-L5500,P126,P126-S1,5500,val
