event_id,batch_id,split,light_kelvin,label_raw,label_canonical,class_label,class_id,analyte,level,source_zip,frames_total,frames_used,frames_skipped,frame_errors,leukocytes_h,leukocytes_s,leukocytes_v,nitrite_h,nitrite_s,nitrite_v,urobilinogen_h,urobilinogen_s,urobilinogen_v,protein_h,protein_s,protein_v,ph_h,ph_s,ph_v,blood_h,blood_s,blood_v,specific_gravity_h,specific_gravity_s,specific_gravity_v,ketone_h,ketone_s,ketone_v,bilirubin_h,bilirubin_s,bilirubin_v,glucose_h,glucose_s,glucose_v
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Leukocytes:Neg,Leukocytes:Neg,,,Leukocytes,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Nitrite:Neg,Nitrite:Neg,,,Nitrite,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Urobilinogen:3.2,Urobilinogen:3.2,,,Urobilinogen,3.2,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Protein:Neg,Protein:Neg,,,Protein,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,pH:5.0,pH:5.0,,,pH,5.0,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Blood:Neg,Blood:Neg,,,Blood,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Specific Gravity:1.000,Specific Gravity:1.000,,,Specific Gravity,1.000,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Ketone:Neg,Ketone:Neg,,,Ketone,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Bilirubin:Neg,Bilirubin:Neg,,,Bilirubin,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
COLORWHEEL_2700_IMG_0541_0001,COLORWHEEL_2700,train,2700,Glucose:Neg,Glucose:Neg,,,Glucose,Neg,COLORWHEEL_2700_SEMIQUANT.zip,1,1,0,,219.313599,0.313307,1.0,219.973602,0.315589,1.0,219.540802,0.312,0.999987,217.985596,0.303617,1.0,217.528,0.300712,1.0,199.952805,0.323169,0.887349,215.122406,0.285964,1.0,215.371994,0.286936,1.0,199.748001,0.338151,0.898574,202.562393,0.349514,0.906897
