event_id,batch_id,split,light_kelvin,label_raw,label_canonical,class_label,class_id,analyte,level,source_zip,frames_total,frames_used,frames_skipped,frame_errors,leukocytes_h,leukocytes_s,leukocytes_v,nitrite_h,nitrite_s,nitrite_v,urobilinogen_h,urobilinogen_s,urobilinogen_v,protein_h,protein_s,protein_v,ph_h,ph_s,ph_v,blood_h,blood_s,blood_v,specific_gravity_h,specific_gravity_s,specific_gravity_v,ketone_h,ketone_s,ketone_v,bilirubin_h,bilirubin_s,bilirubin_v,glucose_h,glucose_s,glucose_v
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Leukocytes:Small 70,Leukocytes:Small 70,,,Leukocytes,Small 70,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Nitrite:Positive,Nitrite:Positive,,,Nitrite,Positive,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Urobilinogen:16,Urobilinogen:16,,,Urobilinogen,16,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Protein:>=20.0,Protein:>=20.0,,,Protein,>=20.0,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,pH:8.5,pH:8.5,,,pH,8.5,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Blood:Non-hemolyzed 10,Blood:Non-hemolyzed 10,,,Blood,Non-hemolyzed 10,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Specific Gravity:1.005,Specific Gravity:1.005,,,Specific Gravity,1.005,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Ketone:Small 1.5,Ketone:Small 1.5,,,Ketone,Small 1.5,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Bilirubin:Large 100,Bilirubin:Large 100,,,Bilirubin,Large 100,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695,BATCH 2 COOL,train,4000,Glucose:30 ++,Glucose:30 ++,,,Glucose,30 ++,BATCH_2_COOL_Abnormal_2026-03-19T21-03-34-843695_SEMIQUANT_FROM_BINARY.zip,21,21,0,,275.342274,0.346862,0.457881,177.283875,0.431700,0.437203,7.785481,0.344418,0.484430,356.504673,0.530117,0.761807,30.933476,0.513603,0.434290,36.529484,0.605124,0.379683,358.111073,0.501234,0.305216,7.037480,0.572409,0.653191,6.861470,0.540153,0.657726,206.393475,0.614378,0.428576
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Leukocytes:Trace 15,Leukocytes:Trace 15,,,Leukocytes,Trace 15,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Nitrite:Neg,Nitrite:Neg,,,Nitrite,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Urobilinogen:3.2,Urobilinogen:3.2,,,Urobilinogen,3.2,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Protein:Neg,Protein:Neg,,,Protein,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,pH:5.0,pH:5.0,,,pH,5.0,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Blood:Neg,Blood:Neg,,,Blood,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Specific Gravity:1.025,Specific Gravity:1.025,,,Specific Gravity,1.025,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Ketone:Neg,Ketone:Neg,,,Ketone,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Bilirubin:Neg,Bilirubin:Neg,,,Bilirubin,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389,BATCH 2 COOL,train,4000,Glucose:Neg,Glucose:Neg,,,Glucose,Neg,BATCH_2_COOL_Normal_2026-03-19T21-00-12-025389_SEMIQUANT_FROM_BINARY.zip,21,21,0,,338.756634,0.506927,0.853381,340.026226,0.511253,0.854247,347.920635,0.513520,0.855714,345.931835,0.514149,0.858001,332.125439,0.512848,0.836548,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421,18.951031,0.488260,0.148421
BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303,BATCH 2 DAYLIGHT,train,5500,Leukocytes:Small 70,Leukocytes:Small 70,,,Leukocytes,Small 70,BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303_SEMIQUANT_FROM_BINARY.zip,21,21,0,,151.414619,0.507673,0.711845,160.833015,0.510097,0.717892,169.745827,0.506884,0.723099,176.042625,0.502712,0.731681,76.250626,0.496986,0.718598,24.350624,0.496299,0.702357,347.318623,0.496812,0.672013,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505
BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303,BATCH 2 DAYLIGHT,train,5500,Nitrite:Positive,Nitrite:Positive,,,Nitrite,Positive,BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303_SEMIQUANT_FROM_BINARY.zip,21,21,0,,151.414619,0.507673,0.711845,160.833015,0.510097,0.717892,169.745827,0.506884,0.723099,176.042625,0.502712,0.731681,76.250626,0.496986,0.718598,24.350624,0.496299,0.702357,347.318623,0.496812,0.672013,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505
BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303,BATCH 2 DAYLIGHT,train,5500,Urobilinogen:16,Urobilinogen:16,,,Urobilinogen,16,BATCH_2_DAYLIGHT_Abnormal_2026-03-19T21-04-13-980303_SEMIQUANT_FROM_BINARY.zip,21,21,0,,151.414619,0.507673,0.711845,160.833015,0.510097,0.717892,169.745827,0.506884,0.723099,176.042625,0.502712,0.731681,76.250626,0.496986,0.718598,24.350624,0.496299,0.702357,347.318623,0.496812,0.672013,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505,312.326622,0.494180,0.007505
