participant_id,split,event_count,sample_count,light_2700_count,light_4000_count,light_5500_count
P001,val,3,1,1,1,1
P002,train,3,1,1,1,1
P003,val,3,1,1,1,1
P004,train,3,1,1,1,1
P005,train,3,1,1,1,1
P006,train,3,1,1,1,1
P007,train,3,1,1,1,1
P008,train,3,1,1,1,1
P009,train,3,1,1,1,1
P010,train,3,1,1,1,1
P011,train,3,1,1,1,1
P012,train,3,1,1,1,1
P013,train,3,1,1,1,1
P014,val,3,1,1,1,1
P015,train,3,1,1,1,1
P016,val,3,1,1,1,1
P017,train,3,1,1,1,1
P018,train,3,1,1,1,1
P019,train,3,1,1,1,1
P020,val,3,1,1,1,1
P021,train,3,1,1,1,1
P022,train,3,1,1,1,1
P023,train,3,1,1,1,1
P024,train,3,1,1,1,1
P025,train,3,1,1,1,1
P026,train,3,1,1,1,1
P027,train,3,1,1,1,1
P028,train,3,1,1,1,1
P029,train,3,1,1,1,1
P030,train,3,1,1,1,1
P031,val,3,1,1,1,1
P032,train,3,1,1,1,1
P033,train,3,1,1,1,1
P034,train,3,1,1,1,1
P035,train,3,1,1,1,1
P036,train,3,1,1,1,1
P037,val,3,1,1,1,1
P038,train,3,1,1,1,1
P039,val,3,1,1,1,1
P040,train,3,1,1,1,1
P041,train,3,1,1,1,1
P042,train,3,1,1,1,1
P043,val,3,1,1,1,1
P044,val,3,1,1,1,1
P045,val,3,1,1,1,1
P046,train,3,1,1,1,1
P047,train,3,1,1,1,1
P048,train,3,1,1,1,1
P049,train,3,1,1,1,1
P050,val,3,1,1,1,1
P051,train,3,1,1,1,1
P052,train,3,1,1,1,1
P053,val,3,1,1,1,1
P054,val,3,1,1,1,1
P055,val,3,1,1,1,1
P056,train,3,1,1,1,1
P057,train,3,1,1,1,1
P058,train,3,1,1,1,1
P059,train,3,1,1,1,1
P060,train,3,1,1,1,1
P061,val,3,1,1,1,1
P062,val,3,1,1,1,1
P063,train,3,1,1,1,1
P064,train,3,1,1,1,1
P065,val,3,1,1,1,1
P066,val,3,1,1,1,1
P067,val,3,1,1,1,1
P068,train,3,1,1,1,1
P069,train,3,1,1,1,1
P070,train,3,1,1,1,1
P071,train,3,1,1,1,1
P072,train,3,1,1,1,1
P073,train,3,1,1,1,1
P074,train,3,1,1,1,1
P075,train,3,1,1,1,1
P076,train,3,1,1,1,1
P077,train,3,1,1,1,1
P078,train,3,1,1,1,1
P079,val,3,1,1,1,1
P080,train,3,1,1,1,1
P081,train,3,1,1,1,1
P082,train,3,1,1,1,1
P083,train,3,1,1,1,1
P084,val,3,1,1,1,1
P085,train,3,1,1,1,1
P086,train,3,1,1,1,1
P087,train,3,1,1,1,1
P088,train,3,1,1,1,1
P089,train,3,1,1,1,1
P090,train,3,1,1,1,1
P091,train,3,1,1,1,1
P092,train,3,1,1,1,1
P093,val,3,1,1,1,1
P094,train,3,1,1,1,1
P095,train,3,1,1,1,1
P096,val,3,1,1,1,1
P097,train,3,1,1,1,1
P098,train,3,1,1,1,1
P099,train,3,1,1,1,1
P100,val,3,1,1,1,1
P101,val,3,1,1,1,1
P102,train,3,1,1,1,1
P103,train,3,1,1,1,1
P104,val,3,1,1,1,1
P105,train,3,1,1,1,1
P106,train,3,1,1,1,1
P107,train,3,1,1,1,1
P108,train,3,1,1,1,1
P109,train,3,1,1,1,1
P110,train,3,1,1,1,1
P111,train,3,1,1,1,1
P112,val,3,1,1,1,1
P113,train,3,1,1,1,1
P114,train,3,1,1,1,1
P115,train,3,1,1,1,1
P116,train,3,1,1,1,1
P117,train,3,1,1,1,1
P118,train,3,1,1,1,1
P119,val,3,1,1,1,1
P120,val,3,1,1,1,1
P121,train,3,1,1,1,1
P122,train,3,1,1,1,1
P123,train,3,1,1,1,1
P124,val,3,1,1,1,1
P125,train,3,1,1,1,1
P126,val,3,1,1,1,1
P127,train,3,1,1,1,1
P128,val,3,1,1,1,1
P129,train,3,1,1,1,1
P130,train,3,1,1,1,1
P131,train,3,1,1,1,1
P132,train,3,1,1,1,1
P133,val,3,1,1,1,1
P134,val,3,1,1,1,1
P135,train,3,1,1,1,1
P136,train,3,1,1,1,1
P137,train,3,1,1,1,1
P138,train,3,1,1,1,1
P139,train,3,1,1,1,1
P140,train,3,1,1,1,1
P141,val,3,1,1,1,1
P142,val,3,1,1,1,1
P143,val,3,1,1,1,1
P144,train,3,1,1,1,1
P145,train,3,1,1,1,1
P146,val,3,1,1,1,1
P147,train,3,1,1,1,1
P148,val,3,1,1,1,1
P149,train,3,1,1,1,1
P150,train,3,1,1,1,1
P151,val,3,1,1,1,1
P152,train,3,1,1,1,1
P153,train,3,1,1,1,1
P154,train,3,1,1,1,1
P155,train,3,1,1,1,1
P156,val,3,1,1,1,1
P157,train,3,1,1,1,1
P158,val,3,1,1,1,1
P159,train,3,1,1,1,1
P160,train,3,1,1,1,1
P161,train,3,1,1,1,1
P162,train,3,1,1,1,1
P163,train,3,1,1,1,1
P164,train,3,1,1,1,1
P165,train,3,1,1,1,1
P166,val,3,1,1,1,1
P167,train,3,1,1,1,1
P168,train,3,1,1,1,1
P169,train,3,1,1,1,1
P170,train,3,1,1,1,1
P171,train,3,1,1,1,1
P172,train,3,1,1,1,1
P173,train,3,1,1,1,1
P174,train,3,1,1,1,1
P175,train,3,1,1,1,1
