event_id,batch_id,split,light_kelvin,label_raw,label_canonical,class_label,class_id,analyte,level,source_zip,frames_total,frames_used,frames_skipped,frame_errors,leukocytes_h,leukocytes_s,leukocytes_v,nitrite_h,nitrite_s,nitrite_v,urobilinogen_h,urobilinogen_s,urobilinogen_v,protein_h,protein_s,protein_v,ph_h,ph_s,ph_v,blood_h,blood_s,blood_v,specific_gravity_h,specific_gravity_s,specific_gravity_v,ketone_h,ketone_s,ketone_v,bilirubin_h,bilirubin_s,bilirubin_v,glucose_h,glucose_s,glucose_v
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Leukocytes:Neg,Leukocytes:Neg,,,Leukocytes,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Nitrite:Neg,Nitrite:Neg,,,Nitrite,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Urobilinogen:16,Urobilinogen:16,,,Urobilinogen,16,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Protein:Neg,Protein:Neg,,,Protein,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,pH:5.0,pH:5.0,,,pH,5.0,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Blood:Neg,Blood:Neg,,,Blood,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Specific Gravity:1.025,Specific Gravity:1.025,,,Specific Gravity,1.025,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Ketone:Trace 0.5,Ketone:Trace 0.5,,,Ketone,Trace 0.5,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Bilirubin:Neg,Bilirubin:Neg,,,Bilirubin,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
D1-P001-S1-L2700,RHU175_SEMIQUANT_V1,val,2700,Glucose:Neg,Glucose:Neg,,,Glucose,Neg,RHU175_SEMIQUANT_V1_2026-05-03T13-28-39.zip,1,1,0,,111.685600,0.687032,0.575164,107.627197,0.646678,0.625299,199.359207,0.307976,1.000000,226.390396,0.490998,1.000000,249.895996,0.495989,1.000000,253.095200,0.450824,1.000000,181.839203,0.200946,1.000000,211.697601,0.310883,1.000000,212.584000,0.236618,1.000000,206.627197,0.208740,1.000000
