Analyte,Delta_Accuracy,Delta_F1_Macro,Delta_Kappa,PerAnalyte_Accuracy,Baseline_Accuracy
Nitrite,+0.040000,-0.025995,+0.009284,0.440000,0.400000
Glucose,+0.000000,-0.034129,+0.003824,0.160000,0.160000
Specific Gravity,+0.040000,-0.035714,+0.045379,0.160000,0.120000
Blood,-0.040000,-0.050794,-0.041872,0.120000,0.160000
Protein,+0.000000,-0.051414,-0.001999,0.120000,0.120000
Bilirubin,-0.120000,-0.097044,-0.149279,0.160000,0.280000
Ketone,-0.080000,-0.119242,-0.097237,0.120000,0.200000
pH,-0.080000,-0.156256,-0.116837,0.160000,0.240000
Leukocytes,-0.120000,-0.177628,-0.150000,0.200000,0.320000
Urobilinogen,-0.080000,-0.193140,-0.100000,0.240000,0.320000
